run,results_csv,epochs_recorded,data,imgsz,batch,optimizer,best_epoch_by_mAP50_95,best_precision,best_recall,best_mAP50,best_mAP50_95,last_epoch,last_precision,last_recall,last_mAP50,last_mAP50_95
runs/detect/overfit_test,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/runs/detect/runs/detect/overfit_test/results.csv,100,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/data_overfit.yaml,640,8,auto,99,0.86086,0.82614,0.81788,0.75571,100,0.8604,0.82613,0.81789,0.75462
NaviAble_Final/yolo_finetune_aug2,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/runs/detect/NaviAble_Final/yolo_finetune_aug2/results.csv,50,data_aug.yaml,640,8,auto,47,0.86216,0.71563,0.79945,0.52617,50,0.89899,0.70589,0.79344,0.51481
NaviAble_Final/yolo_finetune_aug,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/runs/detect/NaviAble_Final/yolo_finetune_aug/results.csv,100,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/data.yaml,640,16,auto,98,0.74559,0.67087,0.74408,0.50703,100,0.80007,0.6767,0.7472,0.5061
runs/detect/ramp_full_bal_classaware,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/runs/detect/runs/detect/ramp_full_bal_classaware/results.csv,25,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/data_train_aug_classbal.yaml,640,8,auto,25,0.84329,0.40166,0.47247,0.31602,25,0.84329,0.40166,0.47247,0.31602
runs/detect/ramp_aug2_classbal_long,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/runs/detect/runs/detect/ramp_aug2_classbal_long/results.csv,30,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/data_train_aug_cp2_classbal.yaml,640,8,auto,27,0.82311,0.41111,0.45861,0.31042,30,0.79597,0.42912,0.49449,0.30944
runs/detect/ramp_full_v2,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/runs/detect/runs/detect/ramp_full_v2/results.csv,50,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/data_ramps_v2.yaml,640,8,auto,50,0.84359,0.40325,0.44579,0.30086,50,0.84359,0.40325,0.44579,0.30086
runs/detect/fast_train,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/runs/detect/runs/detect/fast_train/results.csv,20,NaviAble_Dataset/data.yaml,320,8,auto,20,0.35366,0.36365,0.37587,0.24541,20,0.35366,0.36365,0.37587,0.24541
runs/detect/ramp_balanced_cp,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/runs/detect/runs/detect/ramp_balanced_cp/results.csv,25,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/data_train_aug_cp.yaml,640,8,auto,23,0.76085,0.41658,0.41834,0.24005,25,0.40266,0.43829,0.40995,0.23332
runs/detect/mid_train_balanced,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/runs/detect/runs/detect/mid_train_balanced/results.csv,47,data_train_aug_cp3_classbal.yaml,512,12,auto,27,0.75894,0.32401,0.35361,0.21182,47,0.43184,0.31173,0.33591,0.20241
ramp_priority_v2,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/runs/detect/ramp_priority_v2/results.csv,33,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/data_ramps_v2.yaml,640,8,AdamW,32,0.32218,0.38872,0.34889,0.19567,33,0.65808,0.36923,0.3517,0.18056
NaviAble_AugTest/smoke,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/runs/detect/NaviAble_AugTest/smoke/results.csv,1,data_aug.yaml,320,8,auto,1,0.43497,0.4053,0.36551,0.18887,1,0.43497,0.4053,0.36551,0.18887
mid_ramp_recovery,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/runs/detect/mid_ramp_recovery/results.csv,10,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/data_best.yaml,640,8,AdamW,7,0.86579,0.26566,0.28897,0.1834,10,0.82921,0.23156,0.26366,0.18157
runs/detect/ramp_cp3_classbal_long,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/runs/detect/runs/detect/ramp_cp3_classbal_long/results.csv,13,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/data_train_aug_cp3_classbal.yaml,640,8,auto,12,0.83649,0.19299,0.20949,0.13033,13,0.72174,0.19248,0.18628,0.1047
runs/detect/combined_full_train,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/runs/detect/runs/detect/combined_full_train/results.csv,9,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/data_train_combined.yaml,640,8,auto,8,0.42292,0.16632,0.18448,0.12907,9,0.79659,0.0561,0.07271,0.05422
runs/detect/combined_train_v1,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/runs/detect/runs/detect/combined_train_v1/results.csv,9,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/data_train_combined.yaml,640,8,auto,1,0.40148,0.21962,0.22048,0.11932,9,0.73724,0.09179,0.10285,0.0696
NaviAble_smoke/smoke_test,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/runs/detect/NaviAble_smoke/smoke_test/results.csv,1,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/data.yaml,320,8,auto,1,0.01029,0.69938,0.20351,0.11341,1,0.01029,0.69938,0.20351,0.11341
best_3class_full_v1,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/runs/detect/best_3class_full_v1/results.csv,4,data_best.yaml,768,4,AdamW,3,0.77025,0.15248,0.16813,0.0801,4,0.72206,0.16581,0.17318,0.08007
runs/detect/ramp_smoke,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/runs/detect/runs/detect/ramp_smoke/results.csv,1,/Users/vedantsunillande/spot-repo/NaviAble/NaviAble/data_ramps.yaml,640,8,auto,1,0.61784,0.11717,0.15849,0.07482,1,0.61784,0.11717,0.15849,0.07482
